Year,Month,Variable,101,102
1940,10,precip,69.17616,69.17616
1940,11,precip,74.90508,74.90508
1940,12,precip,15.469277,15.469277
1941,1,precip,37.97823,37.97823
1941,2,precip,20.254901,20.254901
1941,3,precip,28.840754,28.840754
1941,4,precip,73.398544,73.398544
1941,5,precip,73.805073,73.805073
1941,6,precip,109.38777,109.38777
1941,7,precip,99.38758,99.38758
1941,8,precip,149.84062,149.84062
1941,9,precip,148.72835,148.72835
1941,10,precip,70.786,70.786
1941,11,precip,15.1548924,15.1548924
1941,12,precip,20.593766,20.593766
1942,1,precip,20.513565,20.513565
1942,2,precip,17.171283,17.171283
1942,3,precip,48.839764,48.839764
1942,4,precip,54.95726,54.95726
1942,5,precip,101.8222,101.8222
1942,6,precip,105.02725,105.02725
1942,7,precip,88.67132,88.67132
1942,8,precip,131.30127,131.30127
1942,9,precip,60.297,60.297
1942,10,precip,51.513123,51.513123
1942,11,precip,30.59326,30.59326
1942,12,precip,33.04279,33.04279
1943,1,precip,31.654573,31.654573
1943,2,precip,27.621859,27.621859
1943,3,precip,30.997015,30.997015
1943,4,precip,48.926205,48.926205
1943,5,precip,107.21613,107.21613
1943,6,precip,140.72218,140.72218
1943,7,precip,91.97604,91.97604
1943,8,precip,142.88724,142.88724
1943,9,precip,76.604836,76.604836
1943,10,precip,51.16777,51.16777
1943,11,precip,37.948055,37.948055
1943,12,precip,15.2958336,15.2958336
1944,1,precip,17.904418,17.904418
1944,2,precip,17.8856764,17.8856764
1944,3,precip,36.711569,36.711569
1944,4,precip,30.09256,30.09256
1944,5,precip,139.5002,139.5002
1944,6,precip,222.966,222.966
1944,7,precip,113.2628,113.2628
1944,8,precip,152.86673,152.86673
1944,9,precip,70.636242,70.636242
1944,10,precip,18.194478,18.194478
1944,11,precip,62.2365,62.2365
1944,12,precip,18.892206,18.892206
1945,1,precip,28.6136,28.6136
1945,2,precip,35.36186,35.36186
1945,3,precip,60.505466,60.505466
1945,4,precip,79.97169,79.97169
1945,5,precip,42.52023,42.52023
1945,6,precip,98.66073,98.66073
1945,7,precip,116.68164,116.68164
1945,8,precip,109.07684,109.07684
1945,9,precip,109.91153,109.91153
1945,10,precip,31.127127,31.127127
1945,11,precip,40.8842,40.8842
1945,12,precip,30.910255,30.910255
1946,1,precip,31.188492,31.188492
1946,2,precip,28.330442,28.330442
1946,3,precip,46.76029,46.76029
1946,4,precip,56.175087,56.175087
1946,5,precip,84.57001,84.57001
1946,6,precip,169.82695,169.82695
1946,7,precip,67.50471,67.50471
1946,8,precip,73.536743,73.536743
1946,9,precip,116.30955,116.30955
1946,10,precip,133.40903,133.40903
1946,11,precip,54.302734,54.302734
1946,12,precip,40.283997,40.283997
1947,1,precip,18.9718075,18.9718075
1947,2,precip,19.62911,19.62911
1947,3,precip,23.214835,23.214835
1947,4,precip,76.246284,76.246284
1947,5,precip,60.374374,60.374374
1947,6,precip,106.91695,106.91695
1947,7,precip,55.50004,55.50004
1947,8,precip,120.58114,120.58114
1947,9,precip,150.12141,150.12141
1947,10,precip,34.576866,34.576866
1947,11,precip,67.276634,67.276634
1947,12,precip,25.36613,25.36613
1948,1,precip,31.711916,31.711916
1948,2,precip,32.822647,32.822647
1948,3,precip,43.856647,43.856647
1948,4,precip,115.371216,115.371216
1948,5,precip,33.696728,33.696728
1948,6,precip,81.89442,81.89442
1948,7,precip,118.95067,118.95067
1948,8,precip,72.463894,72.463894
1948,9,precip,23.276221,23.276221
1948,10,precip,30.60747,30.60747
1948,11,precip,48.839027,48.839027
1948,12,precip,42.90871,42.90871
1949,1,precip,40.552017,40.552017
